///// LEVEL /////

Cyan = cyan
Green = vert
Yellow = jaune
Orange = orange
Red = rouge
Purple = violet

///// KEY /////

KeyGenderThe = la
KeyGenderA = une
Key = clef
KeyCyan = clef#cyan
KeyGreen = clef#verte
KeyYellow = clef#jaune
KeyOrange = clef#orange
KeyRed = clef#rouge
KeyPurple = clef#violette

///// BOMB /////

BombGenderThe = la
BombGenderA = une
Bomb = bombe
BombCyan = bombe#cyan
BombGreen = bombe#verte
BombYellow = bombe#jaune
BombOrange = bombe#orange
BombRed = bombe#rouge
BombPurple = bombe#violette

///// MICROCHIP /////

MicrochipGenderThe = la
MicrochipGenderA = une
Microchip = puce
MicrochipCyan = puce#cyan
MicrochipGreen = puce#verte
MicrochipYellow = puce#jaune
MicrochipOrange = puce#orange
MicrochipRed = puce#rouge
MicrochipPurple = puce#violette

///// SHOVEL /////

ShovelGenderThe = la
ShovelGenderA = une
Shovel = pelle
ShovelCyan = pelle#cyan
ShovelGreen = pelle#verte
ShovelYellow = pelle#jaune
ShovelOrange = pelle#orange
ShovelRed = pelle#rouge
ShovelPurple = pelle#violette
